counter_rating,counter_subscribers,info,link,name,tags
6172,225.0,"Бесплатная облачная АТС, виртуальные номера, CRM",https://habr.com/ru/company/zadarma/,Zadarma,"Облачные сервисы,CRM-системы,Разработка систем связи,API,Управление продажами"
6126,119.0,Компания,https://habr.com/ru/company/epson/,Epson,"Периферия,Видеотехника,Мониторы и ТВ,AR и VR"
6197,26.0,Компания,https://habr.com/ru/company/severstal/,Северсталь,"IT-инфраструктура,Сетевые технологии,Беспроводные технологии,Интернет вещей,Java"
6204,204.0,Мобильные приложения и цифровая трансформация,https://habr.com/ru/company/surfstudio/,Surf,"Разработка мобильных приложений,Flutter,Dart,Программирование,Разработка под iOS"
7706,498.0,Компания,https://habr.com/ru/company/dbtc/,Технологический Центр Дойче Банка,"Финансы в IT,Научно-популярное,Платежные системы,Java,Высокая производительность"
6364,20.3,Компания,https://habr.com/ru/company/okko/,Okko,"Тестирование IT-систем,Управление сообществом,Социальные сети и сообщества"
6293,251.0,Все о цифровой трансформации ритейла,https://habr.com/ru/company/X5RetailGroup/,X5 Retail Group,"IT-инфраструктура,Big Data,IT-компании,Тестирование IT-систем,Карьера в IT-индустрии"
6435,361.0,Повышаем качество клиентских данных для бизнеса,https://habr.com/ru/company/hflabs/,HFLabs,"Управление проектами,Управление персоналом,IT-компании,Открытые данные,Разработка под e-commerce"
6433,635.0,Лидер рынка корпоративных приложений,https://habr.com/ru/company/sap/,SAP,"Машинное обучение,Облачные сервисы,IT-инфраструктура,Обработка изображений,Хранилища данных"
6393,111.0,Будущее мессенджер-маркетинга,https://habr.com/ru/company/manychat/,ManyChat,"Программирование,PHP,Конференции Олега Бунина (Онтико),Управление продуктом,Управление разработкой"
6734,24.0,Онлайн-школы и образовательные сервисы,https://habr.com/ru/company/action360/,Актион 360,"Учебный процесс в IT,Управление персоналом,Мозг,Лайфхаки для гиков,GTD"
